"","Method","Index","Date","Loc","SVL","Mass","Microhabitat","Pads","Color","Eggs","Recap","PIT_ID","Stage","Underground","tran2017","newindex"
"211","Plot",169,"21-May-16","B","49.6","","L.L.","N","DY","Y","N","ID-982000406562584","F","N","NO",211
"212","Plot",226,"6-Jul-16","B","49.9","","L.L.","N","GY","Y","R","ID-982000406562696","F","N","NO",212
"213","Plot",75,"21-Jul-16","A","50.2","","L.L.","N","Y","Y","R","ID-900118001079824","F","N","NO",213
"214","Plot",407,"11-Jun-16","C","51","Peed","L.L.","N","Y","Y","N","ID-982000406562556","F","N","NO",214
"215","Plot",126,"25-Apr-16","B","51.4","17","L.L.","N","DY","Y","N","ID-982000406255200","F","N","NO",215
"216","Plot",441,"21-Jul-16","C","51.5","","L.L.","N","DY","Y","R","ID-982000406255148","F","N","NO",216
"217","Plot",377,"25-Apr-16","C","51.6","13","L.L.","N","GY","Y","N","ID-982000406255148","F","N","NO",217
"218","Plot",47,"9-Jun-16","A","51.8","","L.L.","N","Y","Y","N","ID-900118001079824","F","N","NO",218
"219","Plot",203,"24-Jun-16","B","52.1","","L.L.","N","DY","Y","N","ID-900118001076846","F","N","NO",219
"220","Plot",421,"5-Jul-16","C","52.5","","L.L.","N","DY","Y","R","ID-982000406562556","F","N","NO",220
"221","Plot",52,"3-Jul-16","A","52.7","","L.L.","N","DY","Y","N","ID-982000406563250","F","N","NO",221
"222","Plot",246,"6-Jul-16","B","54.2","","L.L.","N","DY","Y","R","ID-982000406255200","F","N","NO",222
"223","Plot",461,"13-May-16","E","54.2","17.1","L.L.","N","Y","Y","N","ID-982000406562713","F","N","NO",223
"224","Plot",12,"26-Apr-16","A","55","17","L.L.","N","GY","Y","N","ID-982000406562673","F","N","NO",224
"225","Plot",55,"3-Jul-16","A","56.1","","L.L.","N","DY","Y","N","ID-982000406563306","F","N","NO",225
"226","Plot",122,"25-Apr-16","B","56.3","19.2","L.L.","N","Y","Y","N","ID-982000406255182","F","N","NO",226
"227","Plot",223,"6-Jul-16","B","58","","L.L.","N","Y","Y","R","ID-982000406255182","F","N","NO",227
"228","Plot",59,"3-Jul-16","A","59.3","","L.L.","N","Y","Y","R","ID-900118001079012","F","N","NO",228
"229","Plot",379,"8-May-16","C",NA,"","","","GY","Y","R","ID-982000406255148","F","N","NO",229
"230","Plot",483,"2-Jun-16","E",NA,"","L.L.","N","DY","Y","R","ID-982000406562878","F","N","NO",230
"231","Plot",387,"8-May-16","C","44","10.5","L.L.","Y","Y","N","N","ID-982000406562649","M","N","NO",231
"232","Plot",391,"8-May-16","C","44","9.4","L.L.","Y","Y","N","N","ID-982000406562682","M","N","NO",232
"233","Plot",469,"13-May-16","E","44.3","9.8","L.L.","Y","DY","N","N","ID-982000406562575","M","N","NO",233
"234","Plot",477,"2-Jun-16","E","44.4","","L.L.","Y","DY","N","N","ID-982000406562889","M","N","NO",234
"235","Plot",41,"9-Jun-16","A","44.6","","L.L.","Y","DY","N","R","ID-982000406562786","M","N","NO",235
"236","Plot",472,"13-May-16","E","44.9","","L.L.","Y","DY","N","R","ID-982000406562708","M","N","NO",236
"237","Plot",2,"26-Apr-16","A","45.3","12.2","L.L.","Y","Y","N","N","ID-982000406562704","M","N","NO",237
"238","Plot",33,"9-Jun-16","A","45.3","","L.L.","Y","Y","N","N","ID-982000406562538","M","N","NO",238
