Index ,Date,Date_num,Start_time,End_time,Observers,Scribe,X-coord,Y-coord,Ground_Temp (C),Ambient_Temp (C),RH (%),Wind,Rain,Plot_ID,Survey_Type,Survey_Number,Sheet_ID,Missed Toads,Fooled by Spider Eyeshine,No.,Recap,SVL(mm),GPS_Waypoint,Mass,Mass/SVL ratio,Burrow(Y/N),Burrow_depth,Microhabitat,Pads,Color,Eggs,STAGE,Unique_ID,FINAL_Pittag_toeclip,Plot_ID,PIT-tag_Toeclip,,Body Condition,Ycoord,Xcoord,Comments,Head_Width,Incidental(remove_from_survey),Matured during survey
34,11-Jun-16,20160611,21:40,22:51,"ADS, JF",KN,,,25.4,26.1,79.5,,No,T0,Transect,2,TRAN-11-JUN-2016-01,,,13,N,,506/8,,,-,,-,-,-,-,U,,,T0,-,,-,4121382,363161,Lost,,,N
308,21-Aug-16,20160821,2126,2220,"ADS, JF",?,,,25.4,26.2,93.8,0,no,T3,Transect,7,TRAN-21-Aug-2016-02,0,,2,N,45,,8.9g,,N,,L.L.,FAINT,DY,N,M,ID-982000406563048,9.82E+14,T3,,,OK,4121162,363855,,,,N
1227,1-Jul-17,20170701,2143,2249,"ADS, LC",,4118903,367265,,31.6,86.2,,,T18,Transect,4,TR-1-JUL-2017-01,,,4,N,44.7,511,8.5,0.1901566,N,,,FAINT,Y,N,M,ID-982000407040764,9.82E+14,T18,,,okay,4118915,367276,,17.2,,N
156,23-Jul-16,20160723,22:05,23:50,"HM, ADS",JF,,,25.7,26.8,95.5,0,No,T0,Transect,6,TRAN-23-JUL-2016-01,2,,19,N,27.8,,2.2,0.079136691,N,,L.L.,N,G,N,SNBA,ID-T0-2,T0-2,T0,2,,OK,4121397,363175,,,N,N
787,11-May-16,20160511,23:58,2:02,"NEK, MRL",ADS,,,18.3,17,94.6,,No,T15,Transect,1,TRAN-11-MAY-2016-02,,,3,N,29.6,#230/8,2.5,0.084459459,N,,L.L,N,G,N,SNBA,ID-T15-2,T15-2,T15,,,OK,4119903,365892,,,,N
901,24-Jul-16,20160724,23:24,0:50,"ADS, HM",JF,,,27.9,28.1,94.2,0,No,T15,Transect,6,TRAN-24-JUL-2016-02,0,,21,R,31,,3.1,0.1,N,,L.L.,N,G,N,SNBA,ID-T15-2,T15-2,T15,,,OK,4119819,365839,,,,N
969,10-May-16,20160510,22:05,0:42,"ADS, MRL, BN, NK",?,,,17.5,16.2,91.2,,,T18,Transect,1,TRAN-10-MAY-2016-01,,,2,N,28,#274/5,2.6,0.092857143,N,,L.L.,N,GY,N,SNBA,ID-T18-2,T18-2,T18,,,OK,4118873,367224,,,,N
375,28-Apr-16,20160428,21:34,23:05,"ADS, SB",SB,,,,,,,,T9,Transect,1; stopped at 90m,TRAN-28-APR-2016-01,,,4,N,25.9,#066/8,3.7,0.142857143,N,,L.L.,N,G,N,SNBA,ID-T9-3,T9-3,T9,,,OK,4117914,365043,,,,N
788,11-May-16,20160511,23:58,2:02,"NEK, MRL",ADS,,,18.3,17,94.6,,No,T15,Transect,1,TRAN-11-MAY-2016-02,,,4,N,27.6,#231/8,2,0.072463768,N,,L.L,N,G,N,SNBA,ID-T15-3,T15-3,T15,,,OK,4119854,365910,,,,N
976,10-May-16,20160510,22:05,0:42,"ADS, MRL, BN, NK",?,,,17.5,16.2,91.2,,,T18,Transect,1,TRAN-10-MAY-2016-01,,,9,N,25.4,#281/5,2.4,0.094488189,N,,L.L.,N,G,N,SNBA,ID-T18-3,T18-3,T18,,,OK,4118889,367263,,,,N
